county_id,county_state_name,county_name,population,emissions_mtons_CO2e,emissions_per_person_mtons_CO2e
31169,"Thayer County, NE",Thayer County,5163,30717,5.94944799535154
38063,"Nelson County, ND",Nelson County,3032,15483,5.106530343007916
31095,"Jefferson County, NE",Jefferson County,7354,36763,4.999048137068262
38091,"Steele County, ND",Steele County,1969,9827,4.990858303707466
31059,"Fillmore County, NE",Fillmore County,5676,27098,4.774136715997181
38097,"Traill County, ND",Traill County,8075,38314,4.744767801857585
31151,"Saline County, NE",Saline County,14356,67354,4.691696851490666
29023,"Butler County, MO",Butler County,42887,195230,4.552195303938256
29125,"Maries County, MO",Maries County,8987,40816,4.541671302993213
38039,"Griggs County, ND",Griggs County,2311,10450,4.521852012115967
29223,"Wayne County, MO",Wayne County,13341,59825,4.48429652949554
29073,"Gasconade County, MO",Gasconade County,14875,66646,4.480403361344538
29035,"Carter County, MO",Carter County,6249,27824,4.452552408385341
29071,"Franklin County, MO",Franklin County,102063,452472,4.433261808882749
29025,"Caldwell County, MO",Caldwell County,9057,40034,4.420227448382467
29139,"Montgomery County, MO",Montgomery County,11820,52184,4.414890016920474
29181,"Ripley County, MO",Ripley County,13936,61475,4.41123708381171
38099,"Walsh County, ND",Walsh County,10995,48348,4.397271487039563
29173,"Ralls County, MO",Ralls County,10225,44632,4.364987775061125
29083,"Henry County, MO",Henry County,21930,95632,4.36078431372549
29179,"Reynolds County, MO",Reynolds County,6530,28438,4.354977029096478
29103,"Knox County, MO",Knox County,3997,17384,4.349261946459845
29221,"Washington County, MO",Washington County,25002,108732,4.348932085433165
29087,"Holt County, MO",Holt County,4537,19688,4.339431342296672
29045,"Clark County, MO",Clark County,6860,29752,4.337026239067056
29143,"New Madrid County, MO",New Madrid County,18229,79034,4.335619068517198
29069,"Dunklin County, MO",Dunklin County,31271,135550,4.334687090275335
38095,"Towner County, ND",Towner County,2292,9929,4.3320244328097735
54059,"Mingo County, WV",Mingo County,25549,110134,4.3106970918626955
29207,"Stoddard County, MO",Stoddard County,29788,128287,4.306667114274204
29201,"Scott County, MO",Scott County,38994,166917,4.280581627942761
38067,"Pembina County, ND",Pembina County,7136,30525,4.277606502242152
29137,"Monroe County, MO",Monroe County,8642,36925,4.272737792177737
31185,"York County, NE",York County,13842,59094,4.269180754226268
29005,"Atchison County, MO",Atchison County,5380,22801,4.2381040892193305
29105,"Laclede County, MO",Laclede County,35505,150259,4.232051823686804
31183,"Wheeler County, NE",Wheeler County,805,3390,4.211180124223603
38069,"Pierce County, ND",Pierce County,4373,18404,4.208552481134233
29229,"Wright County, MO",Wright County,18378,77318,4.20709544020024
31067,"Gage County, NE",Gage County,21778,91555,4.204013224354854
29187,"St. Francois County, MO",St. Francois County,66230,278223,4.200860637173486
29219,"Warren County, MO",Warren County,33290,139558,4.192189846800841
29093,"Iron County, MO",Iron County,10220,42734,4.181409001956947
38009,"Bottineau County, ND",Bottineau County,6650,27690,4.16390977443609
29227,"Worth County, MO",Worth County,2061,8564,4.155264434740417
29049,"Clinton County, MO",Clinton County,20494,85045,4.149751146677076
29155,"Pemiscot County, MO",Pemiscot County,17599,72448,4.1165975339507925
31027,"Cedar County, NE",Cedar County,8657,35578,4.109737784451888
29115,"Linn County, MO",Linn County,12319,50211,4.075899017777417
38103,"Wells County, ND",Wells County,4179,17025,4.0739411342426415
38083,"Sheridan County, ND",Sheridan County,1395,5677,4.069534050179212
31075,"Grant County, NE",Grant County,647,2632,4.068006182380216
29099,"Jefferson County, MO",Jefferson County,222453,904283,4.065051943556616
29015,"Benton County, MO",Benton County,18825,76419,4.059442231075697
54109,"Wyoming County, WV",Wyoming County,22537,91209,4.0470781381727825
31119,"Madison County, NE",Madison County,35125,141669,4.033281138790036
17065,"Hamilton County, IL",Hamilton County,8251,33189,4.022421524663677
29065,"Dent County, MO",Dent County,15578,62339,4.001733213506227
29161,"Phelps County, MO",Phelps County,44833,178739,3.986773135859746
21133,"Letcher County, KY",Letcher County,23382,93147,3.9837054144213497
30091,"Sheridan County, MT",Sheridan County,3645,14518,3.982990397805213
31167,"Stanton County, NE",Stanton County,6022,23752,3.944204583194952
29205,"Shelby County, MO",Shelby County,6148,24246,3.943721535458686
21195,"Pike County, KY",Pike County,62791,247627,3.9436702712172127
29197,"Schuyler County, MO",Schuyler County,4396,17324,3.9408553230209282
29091,"Howell County, MO",Howell County,40265,158331,3.9322240158946977
31003,"Antelope County, NE",Antelope County,6421,25244,3.931474848154493
31139,"Pierce County, NE",Pierce County,7179,28215,3.9302131216046803
56011,"Crook County, WY",Crook County,7284,28624,3.9297089511257552
17189,"Washington County, IL",Washington County,14369,56463,3.9295010091168487
29113,"Lincoln County, MO",Lincoln County,54286,213199,3.9273293298456324
31115,"Loup County, NE",Loup County,542,2127,3.9243542435424352
17181,"Union County, IL",Union County,17458,68395,3.9176881658838356
29185,"St. Clair County, MO",St. Clair County,9444,36995,3.9173019906819144
29029,"Camden County, MO",Camden County,44152,172847,3.9148169958325783
20107,"Linn County, KS",Linn County,9524,37283,3.9146367072658546
31031,"Cherry County, NE",Cherry County,5781,22629,3.91437467566165
31061,"Franklin County, NE",Franklin County,3076,12033,3.9118985695708712
29003,"Andrew County, MO",Andrew County,17347,67858,3.911800311293019
20121,"Miami County, KS",Miami County,32787,128220,3.910696312562906
29031,"Cape Girardeau County, MO",Cape Girardeau County,78089,305084,3.906875488224974
29133,"Mississippi County, MO",Mississippi County,14112,55119,3.905824829931973
29141,"Morgan County, MO",Morgan County,20182,78709,3.899960360717471
17059,"Gallatin County, IL",Gallatin County,5325,20729,3.8927699530516433
17047,"Edwards County, IL",Edwards County,6612,25734,3.892014519056261
31163,"Sherman County, NE",Sherman County,3090,12019,3.889644012944984
27133,"Rock County, MN",Rock County,9554,37159,3.8893657106970903
29013,"Bates County, MO",Bates County,16513,64131,3.883667413552958
29055,"Crawford County, MO",Crawford County,24545,95220,3.879405174169892
29131,"Miller County, MO",Miller County,25011,96876,3.873335732277798
47161,"Stewart County, TN",Stewart County,13257,51331,3.871992155087878
29186,"Ste. Genevieve County, MO",Ste. Genevieve County,17937,69403,3.869264648491944
29153,"Ozark County, MO",Ozark County,9450,36558,3.8685714285714288
17199,"Williamson County, IL",Williamson County,67336,260475,3.868287394558631
29225,"Webster County, MO",Webster County,37075,143315,3.865542818610924
38045,"LaMoure County, ND",LaMoure County,4111,15888,3.864753101435174
54047,"McDowell County, WV",McDowell County,20273,78340,3.8642529472697675
56045,"Weston County, WY",Weston County,7175,27712,3.862299651567944
31165,"Sioux County, NE",Sioux County,1274,4920,3.8618524332810047
54045,"Logan County, WV",Logan County,35166,135615,3.8564238184610136
29053,"Cooper County, MO",Cooper County,17613,67904,3.8553341282007607
19173,"Taylor County, IA",Taylor County,6209,23895,3.8484458044773717
17191,"Wayne County, IL",Wayne County,16517,63470,3.842707513470969
38081,"Sargent County, ND",Sargent County,3889,14933,3.839804577012085
29017,"Bollinger County, MO",Bollinger County,12282,47137,3.8378928513271453
29075,"Gentry County, MO",Gentry County,6745,25865,3.8346923647146034
29123,"Madison County, MO",Madison County,12403,47429,3.823994194952834
31117,"McPherson County, NE",McPherson County,425,1624,3.8211764705882354
40033,"Cotton County, OK",Cotton County,6062,23134,3.816232266578687
29149,"Oregon County, MO",Oregon County,10922,41544,3.8036989562351216
31171,"Thomas County, NE",Thomas County,675,2567,3.802962962962963
51091,"Highland County, VA",Highland County,2230,8474,3.8
29039,"Cedar County, MO",Cedar County,13932,52858,3.7939994257823715
17055,"Franklin County, IL",Franklin County,39503,149833,3.792952433992355
17127,"Massac County, IL",Massac County,14883,56362,3.7870053080696096
29051,"Cole County, MO",Cole County,76603,289867,3.784016291790139
29057,"Dade County, MO",Dade County,7590,28703,3.7816864295125163
51036,"Charles City County, VA",Charles City County,7086,26792,3.780976573525261
31009,"Blaine County, NE",Blaine County,580,2192,3.779310344827586
29111,"Lewis County, MO",Lewis County,10146,38316,3.7764636309875814
17193,"White County, IL",White County,14410,54397,3.7749479528105483
17185,"Wabash County, IL",Wabash County,11587,43740,3.7749201691550875
17165,"Saline County, IL",Saline County,24659,93066,3.774118982927126
29085,"Hickory County, MO",Hickory County,9267,34962,3.7727419876982844
31051,"Dixon County, NE",Dixon County,5809,21909,3.771561370287485
31141,"Platte County, NE",Platte County,32703,123311,3.77063266367
29061,"Daviess County, MO",Daviess County,8257,31091,3.7654111662831538
29510,"St. Louis city, MO",St. Louis city,316030,1189337,3.7633674018289405
17133,"Monroe County, IL",Monroe County,33703,126613,3.7567278877251282
31091,"Hooker County, NE",Hooker County,669,2510,3.7518684603886396
31093,"Howard County, NE",Howard County,6365,23860,3.7486252945797327
29217,"Vernon County, MO",Vernon County,20836,78013,3.7441447494720674
29151,"Osage County, MO",Osage County,13704,51287,3.7424839462930533
31175,"Valley County, NE",Valley County,4240,15852,3.7386792452830186
29059,"Dallas County, MO",Dallas County,16508,61714,3.7384298521928763
29027,"Callaway County, MO",Callaway County,44693,167078,3.7383482872038125
17013,"Calhoun County, IL",Calhoun County,4962,18545,3.737404272470778
31039,"Cuming County, NE",Cuming County,9055,33833,3.736388735505246
38019,"Cavalier County, ND",Cavalier County,3867,14446,3.7357124385828806
29213,"Taney County, MO",Taney County,53853,201068,3.733645293669805
31021,"Burt County, NE",Burt County,6594,24613,3.732635729451016
31121,"Merrick County, NE",Merrick County,7793,29081,3.731682278968305
29001,"Adair County, MO",Adair County,25547,95299,3.7303401573570283
31057,"Dundy County, NE",Dundy County,1823,6799,3.7295666483817884
17151,"Pope County, IL",Pope County,4255,15856,3.726439482961222
17023,"Clark County, IL",Clark County,16089,59945,3.7258375287463483
31035,"Clay County, NE",Clay County,6313,23514,3.724695073657532
46111,"Sanborn County, SD",Sanborn County,2349,8729,3.7160493827160495
17081,"Jefferson County, IL",Jefferson County,38523,143078,3.7140928795784336
17087,"Johnson County, IL",Johnson County,12866,47754,3.7116430903155604
40075,"Kiowa County, OK",Kiowa County,9239,34276,3.7099253165927046
17083,"Jersey County, IL",Jersey County,22441,83242,3.709371240140814
29163,"Pike County, MO",Pike County,18475,68519,3.708741542625169
54055,"Mercer County, WV",Mercer County,61476,227709,3.7040308413039233
29117,"Livingston County, MO",Livingston County,15057,55664,3.696885169688517
51127,"New Kent County, VA",New Kent County,20051,74038,3.692484165378285
29079,"Grundy County, MO",Grundy County,10231,37724,3.68722510018571
51075,"Goochland County, VA",Goochland County,21979,80835,3.6778288366167704
31113,"Logan County, NE",Logan County,830,3052,3.6771084337349396
51073,"Gloucester County, VA",Gloucester County,37021,136123,3.676913103373761
17121,"Marion County, IL",Marion County,38503,141127,3.6653507518894632
21095,"Harlan County, KY",Harlan County,28031,102721,3.664549962541472
29081,"Harrison County, MO",Harrison County,8649,31679,3.66273557636721
29203,"Shannon County, MO",Shannon County,8256,30239,3.6626695736434107
40057,"Harmon County, OK",Harmon County,2813,10303,3.6626377532883043
17025,"Clay County, IL",Clay County,13466,49123,3.6479281152532304
29011,"Barton County, MO",Barton County,12075,44043,3.647453416149068
51720,"Norton city, VA",Norton city,3978,14494,3.6435394670688788
31011,"Boone County, NE",Boone County,5353,19496,3.642069867364095
40053,"Grant County, OK",Grant County,4497,16357,3.6373137647320437
51125,"Nelson County, VA",Nelson County,14831,53933,3.6365046187040657
31081,"Hamilton County, NE",Hamilton County,9118,33150,3.6356657161658257
17079,"Jasper County, IL",Jasper County,9592,34827,3.630838198498749
21221,"Trigg County, KY",Trigg County,14267,51551,3.613303427490012
29019,"Boone County, MO",Boone County,172773,624245,3.6130934810415978
46101,"Moody County, SD",Moody County,6445,23277,3.6116369278510474
31099,"Kearney County, NE",Kearney County,6548,23647,3.611331704337202
29171,"Putnam County, MO",Putnam County,4877,17609,3.610621283575969
47121,"Meigs County, TN",Meigs County,11804,42619,3.610555743815656
21007,"Ballard County, KY",Ballard County,8216,29632,3.6066212268743914
47127,"Moore County, TN",Moore County,6314,22752,3.603420969274628
1079,"Lawrence County, AL",Lawrence County,33433,120467,3.603236323393055
31161,"Sheridan County, NE",Sheridan County,5259,18931,3.599733789693858
29215,"Texas County, MO",Texas County,25690,92392,3.5964188400155703
48315,"Marion County, TX",Marion County,10191,36607,3.5920910607398686
51089,"Henry County, VA",Henry County,52209,187466,3.590683598613266
17125,"Mason County, IL",Mason County,13931,50016,3.5902663125403778
18119,"Owen County, IN",Owen County,21038,75531,3.590217701302405
17169,"Schuyler County, IL",Schuyler County,7205,25851,3.5879250520471895
47163,"Sullivan County, TN",Sullivan County,156644,561583,3.585091034447537
18021,"Clay County, IN",Clay County,26568,95184,3.5826558265582658
17153,"Pulaski County, IL",Pulaski County,5792,20721,3.5775207182320443
40127,"Pushmataha County, OK",Pushmataha County,11149,39856,3.5748497623105213
47047,"Fayette County, TN",Fayette County,39071,139647,3.5741854572445035
29167,"Polk County, MO",Polk County,31113,111108,3.571111753929226
21193,"Perry County, KY",Perry County,27818,99269,3.568516787691423
29007,"Audrain County, MO",Audrain County,25868,92226,3.565254368331529
27063,"Jackson County, MN",Jackson County,10163,36182,3.5601692413657386
19119,"Lyon County, IA",Lyon County,11730,41753,3.5595055413469736
31083,"Harlan County, NE",Harlan County,3465,12326,3.557287157287157
29109,"Lawrence County, MO",Lawrence County,38204,135874,3.556538582347398
18079,"Jennings County, IN",Jennings County,28023,99662,3.5564357848909824
17129,"Menard County, IL",Menard County,12576,44715,3.5555820610687023
29175,"Randolph County, MO",Randolph County,25081,89145,3.5542841194529724
54053,"Mason County, WV",Mason County,27060,96001,3.547708795269771
17117,"Macoupin County, IL",Macoupin County,46482,164879,3.5471580396712707
31125,"Nance County, NE",Nance County,3607,12792,3.546437482672581
31077,"Greeley County, NE",Greeley County,2447,8678,3.546383326522272
21223,"Trimble County, KY",Trimble County,8751,31000,3.542452291166724
17171,"Scott County, IL",Scott County,5169,18306,3.5414973882762624
27033,"Cottonwood County, MN",Cottonwood County,11557,40915,3.5402786190187765
29127,"Marion County, MO",Marion County,28858,102162,3.54016217340079
1077,"Lauderdale County, AL",Lauderdale County,92641,327882,3.5392752668904697
54005,"Boone County, WV",Boone County,23645,83623,3.5366039331782617
21079,"Garrard County, KY",Garrard County,17051,60244,3.5331652102515982
31069,"Garden County, NE",Garden County,1930,6819,3.5331606217616582
21125,"Laurel County, KY",Laurel County,59950,211763,3.5323269391159298
47015,"Cannon County, TN",Cannon County,13855,48921,3.5309274630097436
31181,"Webster County, NE",Webster County,3665,12931,3.528240109140518
21039,"Carlisle County, KY",Carlisle County,4954,17471,3.526645135244247
51011,"Appomattox County, VA",Appomattox County,15314,53996,3.5259239911192375
29037,"Cass County, MO",Cass County,101324,357255,3.525867514113142
38051,"McIntosh County, ND",McIntosh County,2737,9640,3.5221044939715016
40149,"Washita County, OK",Washita County,11626,40944,3.521761568897299
38049,"McHenry County, ND",McHenry County,5912,20807,3.519451962110961
31107,"Knox County, NE",Knox County,8551,30066,3.516079990644369
29121,"Macon County, MO",Macon County,15399,54136,3.515552957984285
51065,"Fluvanna County, VA",Fluvanna County,26046,91518,3.5137065192351993
17167,"Sangamon County, IL",Sangamon County,198639,697488,3.51133463217193
40141,"Tillman County, OK",Tillman County,7611,26692,3.507029299697806
18013,"Brown County, IN",Brown County,14965,52478,3.506715669896425
21061,"Edmonson County, KY",Edmonson County,12086,42373,3.5059573059738542
46079,"Lake County, SD",Lake County,12331,43204,3.503689887275971
51019,"Bedford County, VA",Bedford County,76933,269413,3.501917252674405
56019,"Johnson County, WY",Johnson County,8572,29994,3.499066728884741
22081,"Red River Parish, LA",Red River Parish,8757,30636,3.498458376156218
21203,"Rockcastle County, KY",Rockcastle County,16893,59085,3.497602557272243
38047,"Logan County, ND",Logan County,1939,6781,3.4971634863331613
47105,"Loudon County, TN",Loudon County,50637,176685,3.4892469933052905
51141,"Patrick County, VA",Patrick County,18180,63433,3.489163916391639
40103,"Noble County, OK",Noble County,11470,40015,3.488666085440279
21031,"Butler County, KY",Butler County,12828,44733,3.487137511693171
46045,"Edmunds County, SD",Edmunds County,4000,13948,3.487
47031,"Coffee County, TN",Coffee County,53808,187256,3.4800773119238775
17173,"Shelby County, IL",Shelby County,22011,76590,3.479623824451411
31129,"Nuckolls County, NE",Nuckolls County,4352,15136,3.4779411764705883
29159,"Pettis County, MO",Pettis County,42193,146734,3.4776858720640864
40041,"Delaware County, OK",Delaware County,41433,143844,3.4717254362464702
40067,"Jefferson County, OK",Jefferson County,6280,21796,3.470700636942675
13181,"Lincoln County, GA",Lincoln County,7712,26758,3.4696576763485476
18155,"Switzerland County, IN",Switzerland County,10484,36370,3.4690957649752003
17163,"St. Clair County, IL",St. Clair County,265569,921242,3.4689365099089127
18077,"Jefferson County, IN",Jefferson County,32482,112628,3.467397327750754
21071,"Floyd County, KY",Floyd County,38144,132203,3.465892407718121
38073,"Ransom County, ND",Ransom County,5457,18904,3.4641744548286604
18093,"Lawrence County, IN",Lawrence County,45696,158272,3.4635854341736696
40137,"Stephens County, OK",Stephens County,44631,154256,3.456252380632296
48343,"Morris County, TX",Morris County,12653,43722,3.455465107089228
31041,"Custer County, NE",Custer County,10784,37263,3.455396884272997
17119,"Madison County, IL",Madison County,266759,921719,3.4552498697326053
17145,"Perry County, IL",Perry County,21595,74580,3.453577216948368
28155,"Webster County, MS",Webster County,9922,34255,3.452428945777061
54079,"Putnam County, WV",Putnam County,56743,195820,3.4509983610313166
17045,"Edgar County, IL",Edgar County,17828,61523,3.450919901278887
31017,"Brown County, NE",Brown County,3022,10423,3.4490403706154864
21131,"Leslie County, KY",Leslie County,10869,37486,3.448891342349802
17077,"Jackson County, IL",Jackson County,59188,204112,3.448536865580861
38079,"Rolette County, ND",Rolette County,14607,50262,3.440952967755186
46075,"Jones County, SD",Jones County,767,2639,3.440677966101695
51067,"Franklin County, VA",Franklin County,56230,193428,3.4399430908767563
18101,"Martin County, IN",Martin County,10218,35132,3.438246232139362
21201,"Robertson County, KY",Robertson County,2191,7531,3.4372432679141944
40023,"Choctaw County, OK",Choctaw County,15051,51729,3.436914490731513
29097,"Jasper County, MO",Jasper County,117376,403317,3.436111300436205
21023,"Bracken County, KY",Bracken County,8404,28863,3.434435982865302
29145,"Newton County, MO",Newton County,58741,201696,3.4336494101224018
1033,"Colbert County, AL",Colbert County,54377,186379,3.427533699909888
28093,"Marshall County, MS",Marshall County,36196,124042,3.42695325450326
21033,"Caldwell County, KY",Caldwell County,12758,43694,3.424831478288133
29189,"St. Louis County, MO",St. Louis County,1000560,3426211,3.4242933956984087
21167,"Mercer County, KY",Mercer County,21411,73309,3.423894259959834
38021,"Dickey County, ND",Dickey County,5160,17664,3.4232558139534883
46053,"Gregory County, SD",Gregory County,4217,14432,3.4223381550865546
47139,"Polk County, TN",Polk County,16697,57125,3.4212732826256214
13007,"Baker County, GA",Baker County,3250,11118,3.420923076923077
21005,"Anderson County, KY",Anderson County,21867,74803,3.4208167558421367
17147,"Piatt County, IL",Piatt County,16469,56235,3.414597121865323
20207,"Woodson County, KS",Woodson County,3186,10875,3.413370998116761
17017,"Cass County, IL",Cass County,13068,44603,3.4131466176920724
18109,"Morgan County, IN",Morgan County,69504,237198,3.412724447513812
54063,"Monroe County, WV",Monroe County,13496,46056,3.4125666864256075
