county_state_name,state_abbr,emissions_mtons_co2e,total_population,ratio
"Anderson County, TX",TX,59016307,26956435,2.1893216591882423
"Alachua County, FL",FL,47110170,19934451,2.36325394664744
"Adams County, OH",OH,27792534,11586941,2.398608398886298
"Adams County, IL",IL,26121703,12851684,2.032550987092431
"Appling County, GA",GA,24460734,10099320,2.4220179180380463
"Adair County, MO",MO,21245196,6059651,3.506009834559779
"Alameda County, CA",CA,20470530,38654206,0.5295809206377179
"Anderson County, TN",TN,20463441,6548009,3.125139412606183
"Adams County, PA",PA,20094423,12783977,1.571844426816475
"Alamance County, NC",NC,19334706,9940828,1.9449794322967866
