latitude,longitude,Emissions
32.532237,-86.64644,"156,670"
30.659218,-87.746067,"528,947"
31.870253,-85.405104,"67,605"
33.015893,-87.127148,"58,318"
33.977358,-86.56644,"177,690"
32.101759,-85.717261,"26,357"
31.751667,-86.681969,"58,522"
33.771706,-85.822513,"350,959"
32.915504,-85.394032,"103,266"
34.069515,-85.654242,"88,122"
32.854051,-86.726607,"132,083"
31.990997,-88.248908,"42,004"
31.685521,-87.818624,"71,101"
33.2704,-85.863525,"39,771"
33.671964,-85.516126,"43,171"
31.402258,-85.989602,"151,153"
34.703112,-87.801457,"186,379"
31.430926,-86.988722,"36,947"
32.931445,-86.243482,"31,859"
31.243987,-86.448721,"104,197"
31.732826,-86.319222,"37,860"
34.131923,-86.869267,"264,764"
31.430654,-85.609476,"141,302"
32.33354,-87.114356,"117,096"
34.460929,-85.803992,"194,179"
32.597229,-86.142735,"223,660"
31.122287,-87.16841,"104,946"
34.047641,-86.034263,"306,675"
33.716157,-87.764292,"51,911"
34.441989,-87.842814,"90,995"
31.092393,-85.821011,"85,219"
32.844497,-87.9642,"23,606"
32.752796,-87.623061,"46,705"
31.516978,-85.239971,"54,009"
31.158193,-85.296398,"299,371"
34.764114,-85.980056,"158,337"
33.553444,-86.896536,"1,769,513"
33.787085,-88.087431,"43,027"
34.904122,-87.650997,"327,882"
34.529776,-87.321865,"120,467"
32.604064,-85.353048,"389,232"
34.810239,-86.981399,"288,273"
32.147888,-86.650586,"31,686"
32.387027,-85.692887,"52,123"
34.764238,-86.55108,"1,184,489"
32.247591,-87.791091,"63,789"
34.138219,-87.881551,"99,332"
34.309564,-86.321668,"279,543"
30.684572,-88.196568,"1,122,726"
31.580332,-87.383266,"63,346"
32.202881,-86.204461,"621,898"
34.454484,-86.846402,"405,210"
32.639005,-87.293827,"24,298"
33.296793,-88.096863,"57,665"
31.798651,-85.941604,"86,312"
33.296475,-85.464068,"63,519"
32.289811,-85.18698,"161,960"
33.712963,-86.315663,"247,151"
33.263043,-86.678089,"569,702"
32.597481,-88.200057,"36,079"
33.369314,-86.17593,"235,336"
32.863369,-85.799553,"124,748"
33.29022,-87.522783,"524,197"
33.791558,-87.301094,"202,337"
31.405217,-88.197564,"45,983"
31.990085,-87.304907,"28,009"
34.154607,-87.36529,"80,774"
55.245044,-161.997477,"1,199"
51.959447,178.338813,"1,506"
61.17425,-149.284329,"334,427"
60.929141,-160.152625,"6,331"
58.730149,-156.996679,548
63.681106,-150.026544,"2,752"
60.299091,-158.09732,"1,910"
64.692317,-146.601733,"124,592"
59.098771,-135.576936,"2,882"
58.403336,-135.884909,"1,775"
58.37291,-134.178445,"27,002"
60.366668,-152.322283,"70,058"
55.449938,-131.106685,"9,962"
57.270775,-153.953863,"7,588"
62.28306,-163.190903,"3,108"
58.108693,-156.414141,748
62.279075,-149.617562,"122,311"
64.783686,-164.188912,"3,355"
69.449343,-153.47283,"3,212"
67.005066,-160.021086,"2,231"
57.112458,-133.008598,"2,036"
55.682773,-133.162389,"2,444"
57.193204,-135.367396,"5,934"
59.575097,-135.335418,430
63.864997,-143.218628,"7,837"
61.34984,-145.023141,"5,074"
56.180779,-132.026788,"1,456"
60.019872,-140.414566,286
65.375716,-151.577878,"2,692"
35.385084,-109.490172,"58,517"
31.840129,-109.775163,"204,211"
35.829692,-111.773728,"170,994"
33.789618,-110.81187,"109,028"
32.931828,-109.87831,"53,115"
33.238872,-109.242323,"15,923"
33.72761,-114.038806,"44,492"
33.346541,-112.495534,"9,809,738"
35.717705,-113.749689,"420,260"
35.390785,-110.321025,"122,436"
32.128523,-111.783027,"1,922,241"
32.919038,-111.367005,"825,888"
31.525733,-110.845228,"69,975"
34.631212,-112.577385,"410,263"
32.773942,-113.910905,"401,795"
34.28957,-91.376547,"39,581"
33.190835,-91.772267,"45,201"
