county_state_name,state_abbr,emissions_mtons_co2e,total_population,ratio,latitude,longitude
"Anderson County, TX",TX,59016307,26956435,2.1893216591882423,31.812174,-95.576775
"Alachua County, FL",FL,47110170,19934451,2.36325394664744,29.682268,-82.319226
"Adams County, OH",OH,27792534,11586941,2.398608398886298,38.759072,-83.42926
"Adams County, IL",IL,26121703,12851684,2.032550987092431,39.994835,-91.170512
"Appling County, GA",GA,24460734,10099320,2.4220179180380463,31.752465,-82.270396
"Adair County, MO",MO,21245196,6059651,3.506009834559779,40.18479,-92.566786
"Alameda County, CA",CA,20470530,38654206,0.5295809206377179,37.678392,-121.972542
"Anderson County, TN",TN,20463441,6548009,3.125139412606183,36.126521,-84.183869
"Adams County, PA",PA,20094423,12783977,1.571844426816475,39.896077,-77.138946
"Alamance County, NC",NC,19334706,9940828,1.9449794322967866,36.011326,-79.38461
